District ID,County Name,Operating Cost Per Student,District Number,School Year,Student Count,State Student Count,Operating Cost,State Operating Cost,State Operating Cost Per Student
1998,DOUGLAS,9138.08,Elkton SD 34,07/01/2002,210,552161,1918996.62,3889552066.13,7044.24
2193,POLK,10381.53,Falls City SD 57,07/01/2006,185,558366,1920583.69,4768933786.70,8540.87
2144,MARION,8257.19,St Paul SD 45,07/01/2003,233,549169,1923925.10,3970643658.44,7230.28
2005,GILLIAM,12792.82,ARLINGTON SCH DIST 3,07/01/2003,151,549169,1931716.30,3970643658.44,7230.28
2201,UMATILLA,11299.90,Helix SD 1,07/01/2008,171,559271,1932282.35,5248233458.10,9384.06
2061,LAKE,8969.04,North Lake SD 14,07/01/2003,217,549169,1946280.96,3970643658.44,7230.28
2005,GILLIAM,12247.00,ARLINGTON SCH DIST 3,07/01/2001,159,549757,1947273.02,3966871635.47,7215.68
2193,POLK,9113.78,FALLS CITY SCH DIST 57,07/01/2000,214,544245,1950349.00,3796207419.43,6975.18
1934,CLATSOP,12398.21,JEWELL SCH DIST 8,07/01/1999,159,543138,1971315.54,3556941887.40,6548.87
1967,COOS,16609.90,Powers SD 31,07/01/2007,119,561354,1976577.97,5144636555.37,9164.69
2192,POLK,6198.49,PERRYDALE SCH DIST 21,07/01/2000,319,544245,1977319.00,3796207419.43,6975.18
2095,LANE,16658.75,Blachly SD 90,07/01/2009,119,556836,1982391.65,5162739221.05,9271.56
2144,MARION,8947.70,ST PAUL SCH DIST 45,07/01/2000,222,544245,1986388.73,3796207419.43,6975.18
2009,GRANT,10469.87,Prairie City SD 4,07/01/2003,190,549169,1989274.99,3970643658.44,7230.28
1967,COOS,14756.25,Powers SD 31,07/01/2006,135,558366,1992093.63,4768933786.70,8540.87
2144,MARION,8444.38,ST PAUL SCH DIST 45,07/01/2001,236,549757,1992872.94,3966871635.47,7215.68
1998,DOUGLAS,8949.42,ELKTON SCH DIST 34,07/01/1999,223,543138,1995720.08,3556941887.40,6548.87
3997,MORROW,11481.41,Ione SD R2,07/01/2005,174,555146,1997765.82,4513950428.60,8131.11
1899,BENTON,8609.91,ALSEA SCH DIST 7J,07/01/1999,233,543138,2006109.55,3556941887.40,6548.87
2005,GILLIAM,16317.12,ARLINGTON SCH DIST 3,07/01/2004,123,549793,2007005.29,4198534676.94,7636.57
1995,DOUGLAS,13566.18,Camas Valley SD 21J,07/01/2007,148,561354,2007793.95,5144636555.37,9164.69
1998,DOUGLAS,9295.03,Elkton SD 34,07/01/2000,217,544245,2017021.94,3796207419.43,6975.18
1993,DOUGLAS,11881.05,Douglas County SD 15,07/01/2004,170,549793,2019777.83,4198534676.94,7636.57
2009,GRANT,8122.71,PRAIRIE CITY SCH DIST 4,07/01/1999,249,543138,2022554.00,3556941887.40,6548.87
2009,GRANT,12905.60,Prairie City SD 4,07/01/2005,157,555146,2026179.20,4513950428.60,8131.11
2193,POLK,12487.32,Falls City SD 57,07/01/2007,163,561354,2035432.79,5144636555.37,9164.69
1899,BENTON,10240.54,ALSEA SCH DIST 7J,07/01/2001,199,549757,2037867.61,3966871635.47,7215.68
2005,GILLIAM,17739.72,Arlington SD 3,07/01/2007,115,561354,2040067.32,5144636555.37,9164.69
1934,CLATSOP,9764.77,JEWELL SCH DIST 8,07/01/2001,209,549757,2040837.07,3966871635.47,7215.68
1934,CLATSOP,12179.02,JEWELL SCH DIST 8,07/01/2000,168,544245,2046075.04,3796207419.43,6975.18
2095,LANE,14661.61,Blachly SD 90,07/01/2006,140,558366,2052625.39,4768933786.70,8540.87
2192,POLK,6482.97,PERRYDALE SCH DIST 21,07/01/2001,317,549757,2055102.72,3966871635.47,7215.68
2193,POLK,12484.15,Falls City SD 57,07/01/2008,165,559271,2059885.07,5248233458.10,9384.06
2005,GILLIAM,17655.66,Arlington SD 3,07/01/2008,117,559271,2065712.00,5248233458.10,9384.06
2009,GRANT,12698.91,Prairie City SD 4,07/01/2007,163,561354,2069921.82,5144636555.37,9164.69
2009,GRANT,12862.00,Prairie City SD 4,07/01/2006,161,558366,2070782.72,4768933786.70,8540.87
2192,POLK,6254.72,PERRYDALE SCH DIST 21,07/01/2002,332,552161,2076566.36,3889552066.13,7044.24
